restaurant,cuisine,item,price
sultan radison blu ,Indian (Vegetarian Starter),Hara Bhara Kabab,645
sultan radison blu ,Indo-Chinese,Chilli Paneer,695
sultan radison blu ,Asian (Vegetarian Starter),Vegetarian Dim Sum,645
sultan radison blu ,Salads,Caesar Salad (Non Vegetarian),595
sultan radison blu ,Salads,Kashmiri Apple Feta Salad,645
sultan radison blu ,Wraps,Double Egg Murgh Tikka Kathi Roll,745
sultan radison blu ,Appetizers (Non-Veg),Lehsuni Jhinga,1095
sultan radison blu ,Quick Bites,Assorted Veg Pakora,695
sultan radison blu ,Pizza,Pizza Pepperoni,945
sultan radison blu ,Western Main Course,Grilled New Zealand Lamb Chops,1095
sultan radison blu ,Indian Main Course,Bhuna Gosht Sultani,1045
sultan radison blu ,Indian Main Course,Murgh Nizami Handi,945
The Great Kabab Factory,Non Vegetarian (Starters),Galouti Kabab,459
The Great Kabab Factory,Vegetarian (Starters),Lazeez Paneer Tikka,699
The Great Kabab Factory,Desserts,Kesari Phirni,569
The Great Kabab Factory,Mocktail,Basil Cooler,449
The Great Kabab Factory,Mocktail,Cinderella,449
The Great Kabab Factory,Cocktail,Hawaiian Sea Breeze,749
The Great Kabab Factory,Cocktail,Painkiller,699
The Great Kabab Factory,Beverages,Cold Coffee,445
The Great Kabab Factory,Beverages,Fresh Fruit Juice,395
The Great Kabab Factory,Summer Special Cocktail,In The Clouds,799
The Great Kabab Factory,Summer Special Cocktail,Botanical Breeze,799
The Great Kabab Factory,Summer Special Cocktail,Gin Aperol Sour,799
3B's - Country Inn & Suites,North Indian / Appetizers,Tandoori Kebab Sizzler,750
3B's - Country Inn & Suites,North Indian / Appetizers,Dahi Kebab,425
3B's - Country Inn & Suites,Main Course (Vegetarian),Angoori Kofta,545
3B's - Country Inn & Suites,Main Course (Vegetarian),Dal Makhani,495
3B's - Country Inn & Suites,Main Course (Vegetarian),Soya Chaap Rogani,475
3B's - Country Inn & Suites,Continental,Exotic Vegetables in Black Pepper Sauce,525
3B's - Country Inn & Suites,Oriental / Appetizers,Crispy Corn,395
3B's - Country Inn & Suites,Desserts,Gulab Ki Rabri,295
3B's - Country Inn & Suites,Indian Breads,Butter Naan,95
3B's - Country Inn & Suites,Beverages,Fresh Mint Mojito,250
Barista Coffee,Classic Coffee,Cafe Latte,240
Barista Coffee,Classic Coffee,Americano,195
Barista Coffee,Classic Coffee,Cafe Mocha,280
Barista Coffee,Flavoured Coffee,Hazelnut Cappuccino,260
Barista Coffee,Cold Coffee,Classic Cold Coffee,180
Barista Coffee,Cold Coffee,Caramel Cold Coffee,235
Barista Coffee,Quick Bites / Snacks,Three Pepper Cheese Toastie,115
Barista Coffee,Quick Bites / Snacks,Paneer Tikka Sandwich,245
Barista Coffee,Quick Bites / Snacks,Chicken Puff,135
Barista Coffee,Mocktails & Iced Tea,Peach Iced Tea,240
